vertex_ind,xcoord,ycoord
"47",-191831.194709302741103,-2484261.321533350739628
"48",-191681.179210529953707,-2484181.824969343841076
"49",-191536.952549036795972,-2484096.562807248905301
"50",-191399.220290362689411,-2484005.555075504351407
"51",-191268.325119638233446,-2483909.134564191568643
"52",-191144.367478891566861,-2483807.751258370932192
"53",-191026.869408418278908,-2483702.425534441135824
"54",-190914.929209674301092,-2483594.266637773718685
"55",-190806.954066922771744,-2483484.994273194111884
"56",-190700.840253345988458,-2483376.683424188289791
"57",-190594.152052303310484,-2483271.843657890800387
"58",-190484.609047905949410,-2483173.022800315637141
"59",-190370.187408925936325,-2483082.771681794431061
"60",-190249.657434369437397,-2483003.146696547511965
"61",-190122.444504443672486,-2482935.875857545994222
"62",-189988.848266339307884,-2482882.184260986279696
"63",-189849.614383283478674,-2482843.024322108831257
"64",-189706.053562204062473,-2482819.024614208843559
"65",-189559.714587829163065,-2482810.663614333607256
"66",-189412.431040362163913,-2482818.108584187459201
"67",-189266.015131435357034,-2482841.377856154926121
"68",-189122.473193783604074,-2482880.238442413974553
"69",-188983.445976549235638,-2482934.154627271462232
"70",-188850.706878932425752,-2483002.421918384730816
"71",-188725.422392236650921,-2483083.992814443074167
"72",-188608.555236840416910,-2483177.707200580276549
"73",-188500.529658780840691,-2483282.155891351401806
"74",-188401.416810003342107,-2483395.908552775159478
"75",-188310.767952613299713,-2483517.379122902639210
"76",-188227.981798737688223,-2483645.238548164721578
"77",-188151.829927933868021,-2483777.806551894638687
"78",-188081.054582822136581,-2483913.864722130354494
"79",-188014.286566472961567,-2484052.074126026127487
"80",-187949.959468954592012,-2484191.315635897684842
"81",-187886.700447862676810,-2484330.500862475018948
"82",-187823.090952497354010,-2484468.578394536860287
"83",-187758.203406781423837,-2484604.920532041694969
"84",-187691.081807388225570,-2484738.731673236936331
"85",-187621.000104034028482,-2484869.341395447496325
"86",-187547.451036943966756,-2484996.170190147124231
"87",-187469.992219285690226,-2485118.676883831620216
"88",-187388.346412532788236,-2485236.316652318928391
"89",-187302.137209960434120,-2485348.504364808090031
"90",-187211.130442362074973,-2485454.670409245416522
"91",-187114.893241052923258,-2485554.018417275510728
